"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046032","ADP catabolic process","20/1875","31/5796",0.645161290322581,1.99432258064516,3.83828685165981,0.000229766124648181,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",20
"GO:0006066","alcohol metabolic process","62/1875","132/5796",0.46969696969697,1.45192727272727,3.63180756600658,0.00028304342050507,0.0173343395971653,0.0162241240971229,"YML125C/YMR318C/YLR251W/YHR007C/YMR202W/YML087C/YML075C/YGL256W/YGL012W/YHL032C/YLR056W/YPR121W/YHR079C/YDR050C/YPL061W/YNL280C/YGR087C/YGR175C/YNR043W/YMR208W/YNR073C/YHR046C/YLR044C/YIL155C/YPL103C/YMR303C/YFL053W/YLR410W/YOR171C/YIL053W/YLR450W/YDL085W/YDL168W/YAL061W/YGL001C/YOL032W/YCR048W/YNL037C/YLR174W/YGR060W/YMR220W/YOL055C/YPL201C/YER073W/YOR374W/YDR315C/YLR134W/YJR159W/YGR144W/YMR145C/YMR015C/YML070W/YOL086C/YOR136W/YEL070W/YHR072W/YMR296C/YMR101C/YCR105W/YDL080C/YLR100W/YPL028W",62
"GO:0019362","pyridine nucleotide metabolic process","44/1875","87/5796",0.505747126436782,1.56336551724138,3.66099217638818,0.000290809771552204,0.0173343395971653,0.0162241240971229,"YEL041W/YLR231C/YGL037C/YJR009C/YBR117C/YAL038W/YDR050C/YOL056W/YPL061W/YHR074W/YGR043C/YGR010W/YJL052W/YDL021W/YNL200C/YGL253W/YIL155C/YMR205C/YPL075W/YMR303C/YHR174W/YNL129W/YGR240C/YDL085W/YGR256W/YBR196C/YHR202W/YLR174W/YJR078W/YOL136C/YCL047C/YKL152C/YDR400W/YOR347C/YOR374W/YNL241C/YLR446W/YOR344C/YMR145C/YGR254W/YOL086C/YHR183W/YCR012W/YKL060C",44
"GO:0000097","sulfur amino acid biosynthetic process","22/1875","36/5796",0.611111111111111,1.88906666666667,3.70001318320565,0.000350611477080266,0.0195056851748988,0.0182564011223549,"YNL277W/YLL062C/YPR118W/YFR055W/YER052C/YGR204W/YHR208W/YGL184C/YPR167C/YLL058W/YLR303W/YJR137C/YMR009W/YKR069W/YIR017C/YJR024C/YIL046W/YJR148W/YPL273W/YKL001C/YAL012W/YNL103W",22
"GO:0006195","purine nucleotide catabolic process","22/1875","36/5796",0.611111111111111,1.88906666666667,3.70001318320565,0.000350611477080266,0.0195056851748988,0.0182564011223549,"YJR009C/YBR252W/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YHR202W/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",22
"GO:0009261","ribonucleotide catabolic process","21/1875","34/5796",0.617647058823529,1.90927058823529,3.67684150939971,0.000388232640697315,0.0209019444298006,0.0195632339149343,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YER005W/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",21
"GO:0009086","methionine biosynthetic process","20/1875","32/5796",0.625,1.932,3.6555931131146,0.000427473660151019,0.0222954230872516,0.0208674641994774,"YNL277W/YLL062C/YPR118W/YFR055W/YER052C/YGR204W/YHR208W/YGL184C/YPR167C/YLL058W/YLR303W/YMR009W/YKR069W/YIR017C/YJR024C/YIL046W/YJR148W/YPL273W/YKL001C/YNL103W",20
"GO:0046496","nicotinamide nucleotide metabolic process","43/1875","86/5796",0.5,1.5456,3.52479990562671,0.000466257946533661,0.023581348871657,0.0220710300687704,"YEL041W/YLR231C/YJR009C/YBR117C/YAL038W/YDR050C/YOL056W/YPL061W/YHR074W/YGR043C/YGR010W/YJL052W/YDL021W/YNL200C/YGL253W/YIL155C/YMR205C/YPL075W/YMR303C/YHR174W/YNL129W/YGR240C/YDL085W/YGR256W/YBR196C/YHR202W/YLR174W/YJR078W/YOL136C/YCL047C/YKL152C/YDR400W/YOR347C/YOR374W/YNL241C/YLR446W/YOR344C/YMR145C/YGR254W/YOL086C/YHR183W/YCR012W/YKL060C",43
"GO:0006067","ethanol metabolic process","11/1875","14/5796",0.785714285714286,2.4288,3.70105339544711,0.00050875237510463,0.0242602204014179,0.0227064217941435,"YLR251W/YPL061W/YGR087C/YLR044C/YMR303C/YDL085W/YER073W/YOR374W/YLR134W/YMR145C/YOL086C",11
"GO:0015846","polyamine transport","11/1875","14/5796",0.785714285714286,2.4288,3.70105339544711,0.00050875237510463,0.0242602204014179,0.0227064217941435,"YPR156C/YNR055C/YOR273C/YBR043C/YBR132C/YKR039W/YHL016C/YJR059W/YGR138C/YDL210W/YPL274W",11
